psi_ss,k_0_0,k_0_1,k_0_2,k_0_3,k_0_4,k_0_5,k_0_6,k_0_7,k_0_8,k_0_9,k_0_10,k_0_11,k_1_0,k_1_1,k_1_2,k_1_3,k_1_4,k_1_5,k_1_6,k_1_7,k_1_8,k_1_9,k_1_10,k_1_11,k_2_0,k_2_1,k_2_2,k_2_3,k_2_4,k_2_5,k_2_6,k_2_7,k_2_8,k_2_9,k_2_10,k_2_11,k_3_0,k_3_1,k_3_2,k_3_3,k_3_4,k_3_5,k_3_6,k_3_7,k_3_8,k_3_9,k_3_10,k_3_11
-3.0542048189975874,4.12565312518899e-15,-5.592438402264286e-15,14.142135623730937,3.272516688946478e-15,1.8390525404064216e-14,-1.280653746197013e-15,-1.0823342360351756e-15,-2.592923641124808e-15,6.182430504455124,1.7987289471593657e-15,2.277399730002505e-15,-1.3855668963266677e-15,-9.96184112488066,-0.8727665224082259,-3.695524677018295e-16,39.80183367652248,1.1644388279356066e-14,9.311062276492601e-15,-9.499706612412384,-0.8322784714269351,1.7987289471593657e-15,9.464001563136094,3.6049000503922815e-15,2.534629173297315e-15,-0.8727665224082277,9.96184112488063,1.5801651046920499e-15,1.3715501160874329e-14,39.8018336765224,-1.0012894508461537e-14,-0.8322784714269327,9.499706612412353,2.277399730002505e-15,3.6049000503922815e-15,9.464001563136078,9.559525401700264e-16,-7.214772539715403e-16,2.1049243755750554e-17,5.708619080838477e-17,5.516825777736867e-15,1.1708156265498962e-14,7.071067811865477,3.935156004749353e-16,6.020448579062263e-17,-1.3855668963266677e-15,2.534629173297315e-15,9.559525401700264e-16,4.9086670716034115
-3.0454660355383667,1.81891942751262e-14,-1.9918076488647693e-14,14.142135623730937,-2.6642431265873935e-14,-2.598732221079104e-15,6.143801751434917e-15,1.3348146016507144e-14,-7.243646708666477e-15,6.182430504455121,-2.395971843496943e-15,-4.507298209347426e-15,-2.734111187629605e-15,-9.953833932069422,-0.9597864620752248,1.5516788065040595e-14,39.80183367652248,-3.154879679545404e-14,1.873731720547865e-15,-9.49207087705563,-0.915261515013283,-2.395971843496943e-15,9.464001563136083,-1.3588900061358702e-14,3.8162985193057215e-15,-0.9597864620752239,9.953833932069548,-3.329438051373651e-14,-4.0244704473706884e-14,39.80183367652262,6.474473650535765e-15,-0.9152615150132803,9.492070877055701,-4.507298209347426e-15,-1.3588900061358702e-14,9.464001563136158,1.22416922649271e-15,-6.47720661976211e-15,2.2101674611736127e-15,-9.581495445543374e-15,1.7926724214531312e-14,1.5646853965707667e-14,7.071067811865497,-5.775355064319438e-15,3.596703531988835e-15,-2.734111187629605e-15,3.8162985193057215e-15,1.22416922649271e-15,4.908667071603415
-3.0367272520791464,4.071948162867738e-15,5.087652208885853e-15,14.14213562373094,-3.2451031606539302e-15,-3.3757902560117303e-16,4.600017615952531e-15,1.9976322580909192e-15,-2.281783850529726e-15,6.1824305044551275,2.7266355202036173e-15,4.576979029283944e-15,-3.222924218735492e-16,-9.945066606265629,-1.0467331068328671,2.5343029746632345e-14,39.801833676522406,-1.815701745537567e-14,-1.0382525164101543e-15,-9.483710271634664,-0.9981746638757211,2.7266355202036173e-15,9.46400156313609,-3.2160068777072994e-15,2.592471359389864e-15,-1.0467331068328436,9.94506660626565,5.4921127750737785e-15,-1.2163007156742771e-14,39.801833676522406,-5.219658270625072e-15,-0.9981746638757052,9.483710271634664,4.576979029283944e-15,-3.2160068777072994e-15,9.464001563136096,-9.340454771981315e-15,4.888896154835292e-15,-1.6780713686888324e-14,1.3296258732211007e-14,6.449278719628721e-15,-5.586110861149573e-14,7.071067811865474,1.4384577078126117e-15,-1.5570024799455136e-14,-3.222924218735492e-16,2.592471359389864e-15,-9.340454771981315e-15,4.908667071603406
-3.0279884686199257,6.546306544651783e-15,-1.8282198522117482e-15,14.142135623730956,-1.2098229960213957e-14,1.3043825975998783e-14,2.9896012817743912e-15,4.3186554745924735e-15,-1.4988127381254203e-15,6.18243050445513,-2.3038048805242403e-15,2.5106176023207777e-15,2.707093635730123e-15,-9.935539816993522,-1.1335998169266757,1.565455251771291e-14,39.801833676522385,-1.3564121796650502e-14,-2.5390859889261654e-15,-9.474625434614186,-1.0810115862811271,-2.3038048805242403e-15,9.464001563136087,1.9340575270869443e-15,1.0165995774839562e-15,-1.133599816926695,9.935539816993478,1.1871157059586994e-14,1.041002578644326e-14,39.80183367652235,-8.014575046821973e-15,-1.0810115862811416,9.474625434614179,2.5106176023207777e-15,1.9340575270869443e-15,9.464001563136065,-1.8691412602613212e-15,-1.1727513797122028e-15,-3.1464649102843238e-15,-2.3302808945943747e-15,1.1875956521661317e-14,-2.4911273234782195e-15,7.071067811865465,-1.769557783413192e-15,-1.1216858190096793e-15,2.707093635730123e-15,1.0165995774839562e-15,-1.8691412602613212e-15,4.908667071603402
-3.0192496851607054,1.035760245612608e-14,-2.347452500292658e-15,14.142135623730967,-7.543595448417728e-15,8.536770681723467e-15,-4.3086941291046266e-15,5.9346618668403625e-15,1.2855695228786378e-15,6.182430504455139,-1.3417271266635013e-15,8.396884050045214e-15,-5.337021471907373e-15,-9.925254291774479,-1.2203799587065607,2.0135014790404894e-14,39.801833676522435,-4.277125762225987e-14,9.666371042655992e-15,-9.464817059765538,-1.1637659563175298,-1.3417271266635013e-15,9.464001563136097,-7.50650776430684e-15,1.293179669227312e-18,-1.2203799587065187,9.925254291774461,3.0596762127086286e-14,9.227081921698019e-15,39.801833676522406,9.587886934397928e-15,-1.1637659563175156,9.464817059765526,8.396884050045214e-15,-7.50650776430684e-15,9.464001563136117,9.800121819478087e-16,-3.995856886666851e-15,-3.673637217378915e-15,-8.861827900272277e-15,5.351993350782804e-15,-8.466744058724343e-15,7.071067811865481,-2.443413635389392e-15,-2.2089079155572768e-15,-5.337021471907373e-15,1.293179669227312e-18,9.800121819478087e-16,4.908667071603411
-3.0105109017014846,4.963608492603678e-15,9.924438238671539e-15,14.14213562373095,-1.555372834515479e-14,3.040006809966171e-14,-6.0352508845278686e-15,3.9489570428878264e-15,5.838973828663421e-15,6.182430504455139,-2.6535194740479864e-15,5.56749798186379e-15,-8.783897116443557e-15,-9.914210816071291,-1.307066905133047,9.939098786867032e-15,39.80183367652223,3.8003814052045316e-14,1.01040365345867e-15,-9.45428589611352,-1.2464314543770008,-2.6535194740479864e-15,9.464001563136037,-8.022411583312427e-15,2.0072276940238825e-15,-1.3070669051330233,9.914210816071368,1.035590707135254e-14,-4.3831737148167475e-14,39.80183367652231,-3.565898053454092e-15,-1.2464314543770034,9.454285896113568,5.56749798186379e-15,-8.022411583312427e-15,9.464001563136081,2.383229427538002e-15,-1.1434601509691828e-14,-5.549905001389227e-15,-5.185193350375984e-15,2.2807723055711515e-14,-9.621431920115548e-15,7.071067811865468,-5.578654347590723e-15,-4.848726838801234e-15,-8.783897116443557e-15,2.0072276940238825e-15,2.383229427538002e-15,4.908667071603414
-3.001772118242264,3.958526474662611e-15,-2.7204824306567093e-15,14.142135623730944,6.890104302860974e-15,-4.6233289362806246e-14,1.9057777990927867e-15,2.4681357322679068e-15,-8.238519334736188e-15,6.182430504455128,2.9853663604755337e-15,-4.329041492770523e-15,4.478303670167458e-16,-9.90241023322853,-1.3936540362838983,1.3597154693541985e-14,39.80183367652238,-5.6541455909065764e-14,6.7334778744752445e-15,-9.443032747879537,-1.3290017676386001,2.9853663604755337e-15,9.464001563136076,-9.673906829267798e-15,6.473823772055882e-15,-1.3936540362838552,9.902410233228565,3.1920899332812537e-16,-5.878039762181507e-14,39.80183367652246,2.889349064058875e-15,-1.3290017676385686,9.44303274787957,-4.329041492770523e-15,-9.673906829267798e-15,9.464001563136105,-5.772861094202586e-16,-1.4575190902736423e-15,-5.099911290165094e-15,-3.10698854245587e-15,2.270200315959897e-14,4.1125606077654937e-16,7.071067811865471,-3.823887812784556e-15,-2.3809053972727096e-16,4.478303670167458e-16,6.473823772055882e-15,-5.772861094202586e-16,4.9086670716034035
-2.9930333347830436,5.190586178080158e-15,2.045910192095647e-14,14.14213562373094,-1.4071032549963682e-15,1.9255268183171803e-14,-5.718220845446722e-15,9.855462869529686e-16,1.2251137216858021e-14,6.182430504455127,4.1724614990211087e-16,5.781606697922036e-15,-3.0520452293145876e-15,-9.889853444407716,-1.4801347398591405,5.991743477470917e-15,39.801833676522534,-1.081600206691226e-14,-1.225522737243478e-14,-9.431058474419775,-1.4114705905500424,4.1724614990211087e-16,9.464001563136119,-4.195086249283578e-15,4.34713234317657e-15,-1.480134739859111,9.889853444407663,2.085660410847732e-14,-7.958045487053655e-15,39.80183367652233,-8.976908138526722e-15,-1.4114705905500236,9.431058474419727,5.781606697922036e-15,-4.195086249283578e-15,9.46400156313607,-1.3072878321403102e-15,-1.7641703585909258e-15,9.564221378778048e-15,-4.2671577233848066e-16,2.0118682647329582e-14,8.987039087999666e-15,7.071067811865472,-4.88817983900015e-15,6.00302977427604e-15,-3.0520452293145876e-15,4.34713234317657e-15,-1.3072878321403102e-15,4.9086670716034
-2.984294551323823,3.1870724372590423e-15,2.6650055012629198e-14,14.142135623730962,-3.3669999469347607e-15,4.966025829200629e-14,-3.32838900321444e-15,1.7418546890092418e-15,1.8602346911412136e-14,6.182430504455142,-6.772626759847799e-16,7.894176966902472e-15,-3.176100071785348e-15,-9.876541408518571,-1.5665024116863275,9.923296434600719e-15,39.80183367652245,-4.315188039239764e-14,3.999852332423619e-15,-9.418363990159742,-1.493831625309595,-6.772626759847799e-16,9.464001563136101,-1.7438562937394052e-15,2.280651991472684e-15,-1.5665024116863018,9.876541408518507,-8.196856253543748e-15,2.635712568115663e-14,39.80183367652239,-1.7007989652435837e-14,-1.4938316253095776,9.418363990159698,7.894176966902472e-15,-1.7438562937394052e-15,9.46400156313609,-1.4479836930321445e-15,-5.361165261983971e-15,1.9016811613180957e-14,-3.974809268716791e-15,1.1830408089406927e-14,1.656789322773144e-14,7.071067811865471,-3.2925233022794833e-15,7.216832686367104e-15,-3.176100071785348e-15,2.280651991472684e-15,-1.4479836930321445e-15,4.908667071603398
-2.9755557678646025,1.699969178520631e-14,-5.731843657030963e-15,14.142135623730944,-2.536041210614935e-14,8.393859099777619e-15,2.461065204453764e-15,9.872809289839846e-15,3.908070683576177e-15,6.1824305044551355,-8.305505363474523e-16,-6.528849005801423e-16,-5.652757886454226e-16,-9.86247514214606,-1.6527504562246946,6.499256226574912e-15,39.80183367652244,-1.1882046151106294e-14,1.3823197674122516e-14,-9.404950264524533,-1.5760785823467394,-8.305505363474523e-16,9.46400156313609,3.879989179462277e-15,2.495493979664656e-15,-1.652750456224693,9.862475142146078,4.61181494471523e-15,-1.1961972786722005e-14,39.80183367652237,-4.918321718308525e-15,-1.5760785823467336,9.404950264524532,-6.528849005801423e-16,3.879989179462277e-15,9.464001563136083,-1.052362702330852e-15,-1.4826856005968287e-15,2.3614357493486555e-16,3.219315946816945e-16,1.0132993327019465e-14,1.0483004958926305e-14,7.071067811865474,-2.0798650493848866e-15,8.411141695348018e-16,-5.652757886454226e-16,2.495493979664656e-15,-1.052362702330852e-15,4.908667071603404
-2.9668169844053818,-4.419925360589096e-15,8.268193247890476e-15,14.142135623730997,1.9721874606905323e-14,1.3233638268292729e-14,2.0980658655503655e-15,-5.1337366490725176e-15,2.823470859542963e-15,6.182430504455151,1.564417610394682e-15,5.710309934160494e-15,-1.283014798688989e-15,-9.84765571947271,-1.738872287069098,1.1839874951465532e-14,39.80183367652241,9.916800897628793e-15,-3.842349344078632e-15,-9.39081832186477,-1.6582051808027278,1.564417610394682e-15,9.464001563136092,2.7519022557477865e-16,3.6370532136392453e-16,-1.7388722870690998,9.847655719472684,1.4810091096439592e-15,4.975461384856712e-15,39.801833676522484,-1.3119023513263689e-14,-1.658205180802729,9.390818321864788,5.710309934160494e-15,2.7519022557477865e-16,9.4640015631361,-5.260351425331555e-15,-2.0981010859702726e-15,-6.32640540536696e-15,-7.082962097410596e-15,9.521516564244704e-15,-2.2130048479913472e-14,7.071067811865477,-3.098408592996235e-16,-5.656530878702072e-15,-1.283014798688989e-15,3.6370532136392453e-16,-5.260351425331555e-15,4.908667071603411
-2.9580782009461615,1.426950859851169e-14,9.069889272880477e-15,14.142135623730972,-2.1240974221203228e-14,-3.060763145067741e-15,-3.420677507047411e-15,8.388996584120451e-15,8.04522758636972e-15,6.18243050445514,-1.0137715526223429e-15,-2.2642149678486237e-15,-3.1865225932849118e-15,-9.832084272196218,-1.8248613274526004,6.66905242669833e-15,39.80183367652245,6.65436936046329e-15,4.181573993746074e-16,-9.375969241378272,-1.7402051490100134,-1.0137715526223429e-15,9.464001563136094,-2.8405024813165346e-15,1.737581474372874e-15,-1.8248613274525893,9.832084272196214,-2.0435581462205052e-14,-4.056521963419089e-14,39.801833676522435,4.028664946525682e-15,-1.7402051490100088,9.37596924137827,-2.2642149678486237e-15,-2.8405024813165346e-15,9.464001563136087,-3.551204605277534e-16,1.1115349656767133e-15,-4.3106499022778224e-15,-9.554514609142226e-15,8.886666996518048e-15,-1.598093215563399e-14,7.071067811865475,-1.1269653939299537e-15,-4.8873944526820016e-15,-3.1865225932849118e-15,1.737581474372874e-15,-3.551204605277534e-16,4.908667071603406
